nreqs,ctxlen,prefixlen,relay,Memory (GB),Lantency (us),KV mem (GB),Prefix KV mem (GB),cache_op,attn_usr,attn_sys,relay_fusion,others
128,256,16384,false,56.81184768,32346.151489764456,56.706990176,0.0,61,32227,0,0,58.15148976445562
32,128,64,false,0.169869312,121.99713848531246,0.163577952,0.0,17,98,0,0,6.997138485312462
64,256,4096,false,7.42391808,4190.753661096096,7.415529568,0.0,26,4215,0,0,-50.24633890390396
16,256,2048,false,0.987758592,570.5188494175673,0.981467232,0.0,16,548,0,0,6.518849417567253
8,128,8192,false,1.801453568,1043.9048428088427,1.772093536,0.0,15,1013,0,0,15.904842808842659
64,128,512,true,0.270532608,194.04583610594273,0.218103904,0.013631584,26,127,20,6,15.045836105942726
32,256,8192,true,0.463470592,308.1079665571451,0.218103904,0.218103904,18,123,138,4,25.10796655714512
16,256,128,true,0.13631488,101.86570230871439,0.109052,0.003407968,15,66,13,3,4.86570230871439
32,128,4096,false,3.605004288,2049.4070183485746,3.598712928,0.0,20,2019,0,0,10.407018348574638
32,128,2048,true,0.190840832,145.47778759151697,0.109052,0.054526048,17,68,50,4,6.477787591516972
4,256,512,true,0.056623104,59.082070365548134,0.027263072,0.013631584,14,21,15,2,7.082070365548134
128,128,1024,true,0.499122176,369.9116688221693,0.436207712,0.027263072,43,241,57,9,19.911668822169304
16,128,512,true,0.081788928,79.58676666021347,0.054526048,0.013631584,16,36,16,3,8.58676666021347
4,256,1024,true,0.065011712,73.20948876440525,0.027263072,0.027263072,15,22,27,2,7.2094887644052505
1,128,512,false,0.027262976,41.169868782162666,0.017039456,0.0,12,18,0,0,11.169868782162666
8,128,128,true,0.04194304,50.51366053521633,0.027263072,0.003407968,13,14,12,3,8.513660535216331
1,256,2048,true,0.081788928,81.51386864483356,0.00681584,0.054526048,13,16,44,2,6.513868644833565
4,128,64,true,0.027262976,43.391091749072075,0.013631584,0.001704032,12,11,9,2,9.391091749072075
32,256,128,true,0.245366784,229.03217002749443,0.218103904,0.003407968,17,126,13,4,69.03217002749443
32,256,4096,false,3.714056192,2109.9470742046833,3.707764832,0.0,18,2090,0,0,1.9470742046833038
16,256,64,false,0.144703488,101.34171694517136,0.136314976,0.0,15,78,0,0,8.341716945171356
16,256,16384,true,0.551550976,369.3978814408183,0.109052,0.436207712,15,65,243,3,43.39788144081831
1,256,256,true,0.027262976,45.89496646076441,0.00681584,0.00681584,11,11,9,2,12.894966460764408
128,128,8192,false,28.431089664,16196.509758010507,28.353495136,0.0,60,16092,0,0,44.50975801050663
4,256,8192,false,0.908066816,533.0926924943924,0.899678304,0.0,15,499,0,0,19.092692494392395
16,128,8192,true,0.278921216,205.6399779394269,0.054526048,0.218103904,15,33,130,3,24.6399779394269
1,128,4096,true,0.13631488,109.48293842375278,0.003407968,0.109052,14,11,73,2,9.482938423752785
1,256,512,false,0.027262976,41.20850935578346,0.020447328,0.0,12,18,0,0,11.208509355783463
32,256,256,true,0.266338304,175.18403939902782,0.218103904,0.00681584,18,126,14,4,13.184039399027824
8,256,256,false,0.11534336,76.12193003296852,0.109052,0.0,15,56,0,0,5.121930032968521
1,128,2048,true,0.081788928,75.69300942122936,0.003407968,0.054526048,14,11,43,2,5.6930094212293625
1,256,1024,false,0.044040192,46.26474343240261,0.034078816,0.0,13,26,0,0,7.264743432402611
128,256,128,true,0.920649728,578.7426140159369,0.872415328,0.003407968,54,493,14,9,8.742614015936852
32,128,16384,true,0.572522496,373.7582918256521,0.109052,0.436207712,17,69,251,4,32.75829182565212
1,256,4096,false,0.123731968,88.13735097646713,0.115867744,0.0,14,67,0,0,7.137350976467133
32,128,8192,true,0.354418688,244.50435303151608,0.109052,0.218103904,17,67,136,4,20.504353031516075
8,128,1024,true,0.065011712,72.9210115969181,0.027263072,0.027263072,16,21,26,2,7.921011596918106
4,128,8192,false,0.895483904,527.9010254889727,0.886046816,0.0,14,498,0,0,15.901025488972664
128,256,4096,false,14.87929344,8356.708399951458,14.83105904,0.0,48,8290,0,0,18.708399951457977
8,128,1024,false,0.253755392,157.96258114278316,0.24536688,0.0,15,130,0,0,12.962581142783165
128,256,2048,false,7.899971584,4464.200143702328,7.851737184,0.0,51,4442,0,0,-28.799856297671795
8,256,1024,true,0.090177536,84.62456986308098,0.054526048,0.027263072,15,34,26,3,6.624569863080978
16,128,4096,false,1.805647872,1041.4113476872444,1.799356512,0.0,16,999,0,0,26.411347687244415
